ID,Street,District,Price (USD/mo),URL,Rooms,Building (m²),Land (m²),Bathrooms,Floors,Building type,Condition,Ceiling (m),Facilities,Amenities,Photo count,AI Score,AI Summary,Description,Lat,Lng
10576,Keri St,Arabkir,3500,https://besthouse.am/en/estates/10576,8,600,700,4,3,Stone,Renovated,3.0,Heating; Internet; Gas; Air conditioning; Hot water,Furniture; Technique; Open balcony; Garage; Parking; Swimming pool; Beautiful paysage,12,7,"This property offers ample space and a stunning view with a swimming pool and landscaped area, though the yard is more concrete than grass, limiting play space for a dog. The interiors are spacious and well-lit, with modern furnishings, though the kitchen features older-style cabinetry which may not appeal to all tastes. Its proximity to green areas is uncertain, but overall it's a strong candidate with minor compromises.",,40.20267631196436,44.486958109860296
11038,Sevastopolyan St,Arabkir,2500,https://besthouse.am/en/estates/11038,5,500,800,2,2,Stone,Renovated,3.0,Heating; Internet; Gas; Air conditioning; Hot water,Furniture; Technique,11,8,"This house offers a spacious interior with modern furniture and ample natural light, meeting Western-style preferences. The large yard with grass and a proper fence is great for a dog. The interior features a practical kitchen and two well-maintained bathrooms, though the dark tiles in one bathroom might not appeal to everyone. Its location near green areas is a plus for walks.",,40.19695085124371,44.4870264951575
12322,Aygedzor St,Arabkir,3500,https://besthouse.am/en/estates/12322,6,240,380,2,3,Stone,Renovated,3.0,Heating; Internet; Electricity; Gas; Permanent water; Hot water; Drinking water,Furniture; Storage room; Close to the road; Technique; Euro windows,11,8,"The property boasts a sizable yard with grass and a secure fence, perfect for a dog. The interior is spacious with modern touches, like the wooden and metal details in the kitchen and living area. Lots of natural light and a open-plan layout are great, though the dominant orange color may not suit everyone's taste.",,40.19100521729607,44.49935984450164
16836,Keri St,Arabkir,3200,https://besthouse.am/en/estates/16836,4,282,252,2,2,New construction,Renovated,3.0,Heating; Internet; Gas; Air conditioning; Permanent water; Hot water; Drinking water,Furniture; Technique; Euro windows; The park; Open balcony; Tile; Playground; Garage; Double-sided; Laminat; Iron door; Sunny side; High ground first floor; Beautiful paysage,12,9,"The house is spacious with a modern open-plan layout and plenty of natural light. The interior features light wood floors and sleek furnishings, matching your preference for a ""Western-style"" design. The yard is small but has grass and is fenced, suitable for a dog. Located near a park, it offers convenience for walks. Overall, it's well-suited for your needs with only a slight compromise on yard size.","A two-storey private house is for rent in Arabkir community.  The area of ​​the house is 280 square meters, and the area of ​​the land is 250 square meters.  The house is fully renovated.  1st floor: spacious, bright living room, dining room, kitchen, storage room, bathroom.  On the 2nd floor, 3 bedrooms, 2 bathrooms, balconies.  The private house has an individual heating system, an air conditioner is installed, the private house is covered with travertine stone.",40.20229316262549,44.486506987075444
18542,Abovyan St,Center,4000,https://besthouse.am/en/estates/18542,5,660,330,1,3,New construction,Renovated,3.0,,,3,8,"The property features a spacious yard with grass and a proper fence, ideal for a dog and outdoor activities. The building's new construction offers a modern look, though the interior is quite traditional with ornate furniture and pastel shades, which might not fully align with a ""Western-style"" taste. The living room is bright with plenty of natural light and in good condition, but the single bathroom may be a limitation for a large family.",,40.1801122,44.5146504
22118,Dzorap St,Arabkir,2500,https://besthouse.am/en/estates/22118,3,215,600,2,3,Monolith,Renovated,3.2,Heating; Electricity; Gas; Air conditioning; Permanent water; Hot water; Central heating; Drinking water,Furniture; Technique; Open balcony; Elevator; Sunny side; Beautiful paysage; Close to transport stop,21,9,"This property offers a spacious interior with a modern style and large windows for natural light. The yard is well-maintained, suitable for a dog, and features a grass area with fencing. The presence of a pool is a standout luxury amenity. The kitchen and bathrooms are updated and in good condition, matching the preference for a western-style interior.",,40.20708416849298,44.50933377982035
25013,Ghapantsian St,Arabkir,4500,https://besthouse.am/en/estates/25013,6,280,120,2,2,New construction,Renovated,3.0,,Furniture; Technique,21,5,"The house offers a spacious and modern interior with sleek white tile floors and contemporary furniture. However, the minimal outdoor space and lack of visible grass or established yard are downsides for a dog. The modern kitchen and open layout are appealing, but the absence of detailed yard photos is a concern for your priorities.",,40.22092222322542,44.511854645301675
30920,Kond St,Center,3500,https://besthouse.am/en/estates/30920,5,450,200,4,3,New construction,Renovated,3.2,Heating; Internet; Gas; Air conditioning; Hot water,Furniture; Technique; Open balcony; Garage; Swimming pool,5,5,"The property has spacious interiors and a swimming pool, but the yard is mostly paved with limited grass, which might not be ideal for a dog. The interiors have some dated furnishings, and the outdoor space isn't very green or inviting for walks. The exterior looks modern, but significant compromises are present for your needs.",,40.18131230419598,44.50344371955267
34549,Arabkir 35 St,Arabkir,3714,https://besthouse.am/en/estates/34549,9,300,180,4,0,New construction,Renovated,3.0,Heating; Internet; Electricity; Gas; Permanent water; Hot water; Drinking water,Furniture; Euro windows; Open balcony; Tile; Elevator; Sunny side,16,6,"The house is spacious with modern interiors, light wood floors, and open spaces. However, there's no sign of a yard suitable for a dog, and the photos show unfinished areas with tools lying around, indicating further work needed. The large windows provide good natural light, but the lack of visible outdoor space is a concern.",,40.21128710933377,44.51000376726568
35434,Babayan St,Arabkir,3184,https://besthouse.am/en/estates/35434,8,510,620,2,3,New construction,Renovated,3.0,Heating; Internet; Electricity; Gas; Air conditioning; Permanent water; Hot water; Drinking water,Furniture; Technique; gate; Open balcony; Playground; Swimming pool; Basement; Sunny side,26,8,"This house is spacious with a large total area and modern renovation, featuring bright tiles, wood flooring, and an open layout. The yard is ample for a dog, but mostly concrete with limited grass, and the fence is not clearly visible. The kitchen has dark wood cabinetry, which might be less desirable compared to a lighter style. Proximity to parks is not evident from the photos.","For rent, a beautiful, spacious private house, provided with all utilities, beautifully renovated, the private house is comfortable for living as well as for commercial purposes.",40.1983660042819,44.52173873518637
41349,N. Zaryan St,Arabkir,2000,https://besthouse.am/en/estates/41349,5,200,400,2,2,Stone,Renovated,3.0,Heating; Internet; Electricity; Gas; Air conditioning; Permanent water; Hot water; Drinking water,Furniture; Technique; Sunny side; Beautiful paysage; Close to transport stop,32,6,"The property offers a spacious 400 m² yard with some potential for a dog, but lacks greenery or grass. The interior is modern with light wood flooring and contemporary furniture, but the decor feels a bit plain. The kitchen is open-plan with modern appliances but feels cramped. The rooms are well-lit but have awkward corner angles that may be difficult with a toddler. The proximity to transport is a plus, but the lack of visible nearby parks might be a drawback.",,40.204730364724824,44.51811732143967
43109,Griboedov St,Arabkir,2388,https://besthouse.am/en/estates/43109,6,200,230,2,2,Stone,Renovated,3.0,Gas; Heating; Hot water; Air conditioning; Internet; Electricity; Permanent water; Drinking water,Furniture; Technique; Sunny side; Close to transport stop,11,6,"The interior is modern and spacious, with an open kitchen design featuring light wood cabinetry. However, the outdoor area is primarily a concrete pad, lacking a grassy yard suitable for a dog. The location seems urban with no visible greenery, which might limit park access for walks.",,40.212337977724076,44.50737738416484
